>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
50527 49.25 119.70 3	50527 49.25 119.70 8	50527 49.25 119.70 4	50527 49.25 119.70 11	50527 49.25 119.70 3
50557 49.17 125.23 4	50557 49.17 125.23 7	50557 49.17 125.23 5	50557 49.17 125.23 12	50557 49.17 125.23 4
50745 47.38 123.92 3	50745 47.38 123.92 9	50745 47.38 123.92 4	50745 47.38 123.92 12	50745 47.38 123.92 3
50774 47.73 128.92 4	50774 47.73 128.92 7	50774 47.73 128.92 6	50774 47.73 128.92 8	50774 47.73 128.92 4
50834 46.60 121.22 1	50834 46.60 121.22 9	50834 46.60 121.22 7	50834 46.60 121.22 12	50834 46.60 121.22 3
50953 45.75 126.77 4	50953 45.75 126.77 6	50953 45.75 126.77 5	50953 45.75 126.77 12	50953 45.75 126.77 3
51076 47.73 88.08 1	51076 47.73 88.08 7	51076 47.73 88.08 5	51076 47.73 88.08 10	51076 47.73 88.08 5
51133 46.73 83.00 4	51133 46.73 83.00 5	51133 46.73 83.00 4	51133 46.73 83.00 9	51133 46.73 83.00 2
51243 45.62 84.85 3	51243 45.62 84.85 6	51243 45.62 84.85 7	51243 45.62 84.85 9	51243 45.62 84.85 3
51288 45.37 90.53 0	51288 45.37 90.53 6	51288 45.37 90.53 5	51288 45.37 90.53 10	51288 45.37 90.53 4
51431 43.95 81.33 3	51431 43.95 81.33 8	51431 43.95 81.33 5	51431 43.95 81.33 11	51431 43.95 81.33 4
51463 43.78 87.65 0	51463 43.78 87.65 12	51463 43.78 87.65 8	51463 43.78 87.65 10	51463 43.78 87.65 4
51628 41.17 80.23 2	51628 41.17 80.23 9	51628 41.17 80.23 5	51628 41.17 80.23 8	51628 41.17 80.23 3
51644 41.72 82.97 0	51644 41.72 82.97 10	51644 41.72 82.97 7	51644 41.72 82.97 10	51644 41.72 82.97 3
51656 41.75 86.13 0	51656 41.75 86.13 11	51656 41.75 86.13 5	51656 41.75 86.13 11	51656 41.75 86.13 5
51709 39.47 75.98 0	51709 39.47 75.98 11	51709 39.47 75.98 4	51709 39.47 75.98 6	51709 39.47 75.98 6
51777 39.03 88.17 2	51777 39.03 88.17 8	51777 39.03 88.17 5	51777 39.03 88.17 8	51777 39.03 88.17 4
51828 37.13 79.93 1	51828 37.13 79.93 10	51828 37.13 79.93 9	51828 37.13 79.93 9	51828 37.13 79.93 6
51839 37.07 82.72 0	51839 37.07 82.72 10	51839 37.07 82.72 8	51839 37.07 82.72 7	51839 37.07 82.72 5
51886 38.25 90.85 0	51886 38.25 90.85 7	51886 38.25 90.85 9	51886 38.25 90.85 10	51886 38.25 90.85 6
52203 42.82 93.52 2	52203 42.82 93.52 9	52203 42.82 93.52 5	52203 42.82 93.52 8	52203 42.82 93.52 4
52267 41.95 101.07 1	52267 41.95 101.07 10	52267 41.95 101.07 4	52267 41.95 101.07 8	52267 41.95 101.07 5
52323 41.80 97.03 0	52323 41.80 97.03 7	52323 41.80 97.03 5	52323 41.80 97.03 10	52323 41.80 97.03 4
52418 40.15 94.68 1	52418 40.15 94.68 11	52418 40.15 94.68 7	52418 40.15 94.68 9	52418 40.15 94.68 5
52652 39.08 100.28 0	52652 39.08 100.28 11	52652 39.08 100.28 4	52652 39.08 100.28 7	52652 39.08 100.28 5
52681 38.63 103.08 0	52681 38.63 103.08 10	52681 38.63 103.08 6	52681 38.63 103.08 8	52681 38.63 103.08 6
52818 36.42 94.90 0	52818 36.42 94.90 7	52818 36.42 94.90 9	52818 36.42 94.90 12	52818 36.42 94.90 8
52836 36.30 98.10 0	52836 36.30 98.10 5	52836 36.30 98.10 13	52836 36.30 98.10 10	52836 36.30 98.10 8
52866 36.72 101.75 0	52866 36.72 101.75 7	52866 36.72 101.75 10	52866 36.72 101.75 9	52866 36.72 101.75 7
52983 35.87 104.15 0	52983 35.87 104.15 8	52983 35.87 104.15 10	52983 35.87 104.15 7	52983 35.87 104.15 8
53068 43.63 111.95 1	53068 43.63 111.95 7	53068 43.63 111.95 8	53068 43.63 111.95 11	53068 43.63 111.95 7
53336 41.57 108.52 0	53336 41.57 108.52 8	53336 41.57 108.52 5	53336 41.57 108.52 15	53336 41.57 108.52 5
53463 40.82 111.68 1	53463 40.82 111.68 9	53463 40.82 111.68 3	53463 40.82 111.68 9	53463 40.82 111.68 2
53513 40.73 107.37 0	53513 40.73 107.37 8	53513 40.73 107.37 4	53513 40.73 107.37 7	53513 40.73 107.37 3
53543 39.83 109.98 0	53543 39.83 109.98 7	53543 39.83 109.98 7	53543 39.83 109.98 7	53543 39.83 109.98 4
53614 38.47 106.20 0	53614 38.47 106.20 8	53614 38.47 106.20 5	53614 38.47 106.20 7	53614 38.47 106.20 5
53772 37.78 112.55 2	53772 37.78 112.55 6	53772 37.78 112.55 7	53772 37.78 112.55 12	53772 37.78 112.55 5
53798 37.17 114.35 2	53798 37.17 114.35 7	53798 37.17 114.35 6	53798 37.17 114.35 11	53798 37.17 114.35 6
53845 36.57 109.45 1	53845 36.57 109.45 9	53845 36.57 109.45 8	53845 36.57 109.45 9	53845 36.57 109.45 4
53915 35.55 106.67 0	53915 35.55 106.67 8	53915 35.55 106.67 10	53915 35.55 106.67 8	53915 35.55 106.67 7
54102 43.95 116.12 1	54102 43.95 116.12 8	54102 43.95 116.12 4	54102 43.95 116.12 10	54102 43.95 116.12 6
54135 43.60 122.27 4	54135 43.60 122.27 6	54135 43.60 122.27 3	54135 43.60 122.27 8	54135 43.60 122.27 3
54161 43.90 125.22 5	54161 43.90 125.22 8	54161 43.90 125.22 3	54161 43.90 125.22 11	54161 43.90 125.22 5
54218 42.30 118.83 1	54218 42.30 118.83 6	54218 42.30 118.83 4	54218 42.30 118.83 9	54218 42.30 118.83 7
54292 42.87 129.50 4	54292 42.87 129.50 7	54292 42.87 129.50 3	54292 42.87 129.50 10	54292 42.87 129.50 4
54342 41.73 123.52 3	54342 41.73 123.52 7	54342 41.73 123.52 5	54342 41.73 123.52 9	54342 41.73 123.52 3
54374 41.80 126.88 2	54374 41.80 126.88 6	54374 41.80 126.88 5	54374 41.80 126.88 11	54374 41.80 126.88 3
54401 40.77 114.92 2	54401 40.77 114.92 10	54401 40.77 114.92 8	54401 40.77 114.92 10	54401 40.77 114.92 5
54511 39.80 116.47 1	54511 39.80 116.47 2	54511 39.80 116.47 2	54511 39.80 116.47 5	54511 39.80 116.47 1
54539 39.43 118.88 4	54539 39.43 118.88 6	54539 39.43 118.88 3	54539 39.43 118.88 12	54539 39.43 118.88 5
54662 38.90 121.63 4	54662 38.90 121.63 9	54662 38.90 121.63 5	54662 38.90 121.63 11	54662 38.90 121.63 3
54727 36.68 117.55 4	54727 36.68 117.55 5	54727 36.68 117.55 5	54727 36.68 117.55 13	54727 36.68 117.55 4
