>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
50527 49.25 119.70 3	50527 49.25 119.70 14	50527 49.25 119.70 11	50527 49.25 119.70 21	50527 49.25 119.70 6
50557 49.17 125.23 3	50557 49.17 125.23 13	50557 49.17 125.23 10	50557 49.17 125.23 21	50557 49.17 125.23 7
50745 47.38 123.92 3	50745 47.38 123.92 12	50745 47.38 123.92 11	50745 47.38 123.92 18	50745 47.38 123.92 6
50774 47.73 128.92 3	50774 47.73 128.92 13	50774 47.73 128.92 11	50774 47.73 128.92 17	50774 47.73 128.92 6
50834 46.60 121.22 2	50834 46.60 121.22 12	50834 46.60 121.22 11	50834 46.60 121.22 20	50834 46.60 121.22 7
50953 45.75 126.77 3	50953 45.75 126.77 12	50953 45.75 126.77 10	50953 45.75 126.77 18	50953 45.75 126.77 6
51076 47.73 88.08 1	51076 47.73 88.08 13	51076 47.73 88.08 9	51076 47.73 88.08 19	51076 47.73 88.08 6
51133 46.73 83.00 2	51133 46.73 83.00 12	51133 46.73 83.00 12	51133 46.73 83.00 24	51133 46.73 83.00 8
51243 45.62 84.85 2	51243 45.62 84.85 12	51243 45.62 84.85 9	51243 45.62 84.85 18	51243 45.62 84.85 5
51288 45.37 90.53 0	51288 45.37 90.53 12	51288 45.37 90.53 12	51288 45.37 90.53 24	51288 45.37 90.53 8
51431 43.95 81.33 2	51431 43.95 81.33 11	51431 43.95 81.33 10	51431 43.95 81.33 18	51431 43.95 81.33 5
51463 43.78 87.65 1	51463 43.78 87.65 13	51463 43.78 87.65 11	51463 43.78 87.65 21	51463 43.78 87.65 7
51628 41.17 80.23 1	51628 41.17 80.23 14	51628 41.17 80.23 9	51628 41.17 80.23 20	51628 41.17 80.23 6
51644 41.72 82.97 1	51644 41.72 82.97 13	51644 41.72 82.97 12	51644 41.72 82.97 25	51644 41.72 82.97 9
51656 41.75 86.13 1	51656 41.75 86.13 13	51656 41.75 86.13 12	51656 41.75 86.13 22	51656 41.75 86.13 8
51709 39.47 75.98 0	51709 39.47 75.98 17	51709 39.47 75.98 11	51709 39.47 75.98 24	51709 39.47 75.98 7
51777 39.03 88.17 2	51777 39.03 88.17 14	51777 39.03 88.17 11	51777 39.03 88.17 23	51777 39.03 88.17 8
51828 37.13 79.93 1	51828 37.13 79.93 14	51828 37.13 79.93 12	51828 37.13 79.93 24	51828 37.13 79.93 8
51839 37.07 82.72 0	51839 37.07 82.72 12	51839 37.07 82.72 11	51839 37.07 82.72 20	51839 37.07 82.72 7
51886 38.25 90.85 0	51886 38.25 90.85 8	51886 38.25 90.85 10	51886 38.25 90.85 20	51886 38.25 90.85 8
52203 42.82 93.52 1	52203 42.82 93.52 13	52203 42.82 93.52 10	52203 42.82 93.52 20	52203 42.82 93.52 5
52267 41.95 101.07 1	52267 41.95 101.07 14	52267 41.95 101.07 12	52267 41.95 101.07 24	52267 41.95 101.07 8
52323 41.80 97.03 0	52323 41.80 97.03 11	52323 41.80 97.03 10	52323 41.80 97.03 21	52323 41.80 97.03 7
52418 40.15 94.68 0	52418 40.15 94.68 10	52418 40.15 94.68 10	52418 40.15 94.68 20	52418 40.15 94.68 6
52652 39.08 100.28 0	52652 39.08 100.28 12	52652 39.08 100.28 9	52652 39.08 100.28 22	52652 39.08 100.28 7
52681 38.63 103.08 0	52681 38.63 103.08 14	52681 38.63 103.08 10	52681 38.63 103.08 20	52681 38.63 103.08 7
52818 36.42 94.90 0	52818 36.42 94.90 9	52818 36.42 94.90 9	52818 36.42 94.90 17	52818 36.42 94.90 7
52836 36.30 98.10 0	52836 36.30 98.10 8	52836 36.30 98.10 13	52836 36.30 98.10 23	52836 36.30 98.10 8
52866 36.72 101.75 0	52866 36.72 101.75 10	52866 36.72 101.75 12	52866 36.72 101.75 20	52866 36.72 101.75 8
52983 35.87 104.15 0	52983 35.87 104.15 10	52983 35.87 104.15 9	52983 35.87 104.15 17	52983 35.87 104.15 7
53068 43.63 111.95 1	53068 43.63 111.95 14	53068 43.63 111.95 10	53068 43.63 111.95 20	53068 43.63 111.95 7
53336 41.57 108.52 0	53336 41.57 108.52 12	53336 41.57 108.52 10	53336 41.57 108.52 22	53336 41.57 108.52 7
53463 40.82 111.68 1	53463 40.82 111.68 14	53463 40.82 111.68 12	53463 40.82 111.68 19	53463 40.82 111.68 6
53513 40.73 107.37 1	53513 40.73 107.37 12	53513 40.73 107.37 11	53513 40.73 107.37 20	53513 40.73 107.37 6
53543 39.83 109.98 0	53543 39.83 109.98 13	53543 39.83 109.98 13	53543 39.83 109.98 24	53543 39.83 109.98 8
53614 38.47 106.20 0	53614 38.47 106.20 13	53614 38.47 106.20 11	53614 38.47 106.20 20	53614 38.47 106.20 6
53772 37.78 112.55 1	53772 37.78 112.55 13	53772 37.78 112.55 11	53772 37.78 112.55 23	53772 37.78 112.55 7
53798 37.17 114.35 3	53798 37.17 114.35 13	53798 37.17 114.35 12	53798 37.17 114.35 20	53798 37.17 114.35 6
53845 36.57 109.45 1	53845 36.57 109.45 13	53845 36.57 109.45 12	53845 36.57 109.45 19	53845 36.57 109.45 7
53915 35.55 106.67 0	53915 35.55 106.67 13	53915 35.55 106.67 11	53915 35.55 106.67 19	53915 35.55 106.67 6
54102 43.95 116.12 1	54102 43.95 116.12 12	54102 43.95 116.12 11	54102 43.95 116.12 20	54102 43.95 116.12 7
54135 43.60 122.27 3	54135 43.60 122.27 13	54135 43.60 122.27 11	54135 43.60 122.27 20	54135 43.60 122.27 7
54161 43.90 125.22 4	54161 43.90 125.22 12	54161 43.90 125.22 11	54161 43.90 125.22 19	54161 43.90 125.22 6
54218 42.30 118.83 2	54218 42.30 118.83 12	54218 42.30 118.83 11	54218 42.30 118.83 21	54218 42.30 118.83 7
54292 42.87 129.50 2	54292 42.87 129.50 13	54292 42.87 129.50 11	54292 42.87 129.50 19	54292 42.87 129.50 6
54342 41.73 123.52 4	54342 41.73 123.52 13	54342 41.73 123.52 11	54342 41.73 123.52 21	54342 41.73 123.52 5
54374 41.80 126.88 3	54374 41.80 126.88 15	54374 41.80 126.88 11	54374 41.80 126.88 18	54374 41.80 126.88 6
54401 40.77 114.92 1	54401 40.77 114.92 13	54401 40.77 114.92 11	54401 40.77 114.92 19	54401 40.77 114.92 6
